index	date	time	participant	sex	age	fluency	practice	itemNr	item	itemFreq	presentedItem	testResp	correct	testRespOrder	testRespArr	testTimeArr	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	previouslyUsedPnumber	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort	computerText	screen_width	screen_height	screen_availWidth	screen_availHeight
0	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	1	bucket	10.02	BUCKET	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
1	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	2	branch	10.08	BRANCH	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
2	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	3	sunset	10.31	SUNSET	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
3	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	4	barrel	10.63	bArReL	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
4	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	5	wizard	10.63	wIzArD	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
5	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	6	banana	10.73	BANANA	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
6	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	7	potato	11.29	pOtAtO	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
7	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	8	pillow	11.39	pIlLoW	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
8	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	9	carpet	11.65	CARPET	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
9	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	10	picnic	11.69	pIcNiC	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
10	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	11	farmer	11.84	fArMeR	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
11	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	12	rocket	11.84	ROCKET	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
12	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	13	tattoo	11.96	tAtToO	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
13	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	14	sailor	12.39	sAiLoR	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
14	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	15	hammer	12.47	HAMMER	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
15	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	16	string	12.67	STRING	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
16	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	17	cattle	13.22	cAtTlE	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
17	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	low	no	18	muscle	13.61	mUsClE	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
18	Sun Mar 12 2017	15:58:49 GMT-0400 (EDT)	18	female	a	high	no	19	guitar	15.59	GUITAR	x	0	x	x	x	EOL	x	x	x	x	x	x	x	14061	779	3995	0	0	0	0	yes	yes	yes	6723	TEST!	x	x	x	x	x	x	x	x	1440	900	1436	877
