ItemNr	Item	ItemDiff	List	ListPart
1	Lrund - boll	1	A	fir
2	Lbaby - liten	2	A	fir
3	Laffär - mjölk	2	A	sec
4	Lbla - blu	3	A	sec
5	Lblå - jeans	2	B	fir
6	Lfjäril - tumme	2	B	fir
7	Lflicka - fiske	2	B	sec
8	Lple - ble	2	B	sec
