index	date	time	participant	sex	age	practice	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort
0	Sun Feb 26 2017	14:44:13 GMT-0500 (EST)	1	undefined	undefined	no	1	pic1.png	1	new	pic1.png	old	0	4	331		x	x	x	x	x	x	x	32103	0	0	1253	1331	1001	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
1	Sun Feb 26 2017	14:44:13 GMT-0500 (EST)	1	undefined	undefined	no	2	pic2.png	1	old	pic2.png	old	1	0	1670		pic2.png	2	40	947	1	1002	pic2.png	32103	0	0	1253	1331	1001	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
2	Sun Feb 26 2017	14:44:13 GMT-0500 (EST)	1	undefined	undefined	no	3	pic3.png	1	old	pic3.png	new	0	5	356		pic3.png	1	40	1545	2	1006	pic3.png	32103	0	0	1253	1331	1001	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
3	Sun Feb 26 2017	14:44:13 GMT-0500 (EST)	1	undefined	undefined	no	4	pic4.png	1	old	pic4.png	new	0	1	437		pic4.png	3	40	2275	3	1004	pic4.png	32103	0	0	1253	1331	1001	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
4	Sun Feb 26 2017	14:44:13 GMT-0500 (EST)	1	undefined	undefined	no	5	pic5.png	1	old	pic5.png	new	0	7	389		pic5.png	0	40	3809	0	1002	pic5.png	32103	0	0	1253	1331	1001	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
5	Sun Feb 26 2017	14:44:13 GMT-0500 (EST)	1	undefined	undefined	no	6	pic6.png	1	new	pic6.png	new	1	3	354		x	x	x	x	x	x	x	32103	0	0	1253	1331	1001	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
6	Sun Feb 26 2017	14:44:13 GMT-0500 (EST)	1	undefined	undefined	no	7	pic7.png	1	new	pic7.png	old	0	6	386		x	x	x	x	x	x	x	32103	0	0	1253	1331	1001	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
7	Sun Feb 26 2017	14:44:13 GMT-0500 (EST)	1	undefined	undefined	no	8	pic8.png	1	new	pic8.png	old	0	2	397		x	x	x	x	x	x	x	32103	0	0	1253	1331	1001	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
