index	date	time	participant	sex	age	oldOrNew	practice	itemNr	item	itemDiff	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort
0	Sun Feb 26 2017	14:39:14 GMT-0500 (EST)	1	undefined	undefined	new	no	1	pic1.png	1	pic1.png	old	0	0	802		x	x	x	x	x	x	x	25295	0	0	1145	1534	1220	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
1	Sun Feb 26 2017	14:39:14 GMT-0500 (EST)	1	undefined	undefined	old	no	2	pic2.png	1	pic2.png	old	1	2	364		pic2.png	1	60	287	0	1006	pic2.png	25295	0	0	1145	1534	1220	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
2	Sun Feb 26 2017	14:39:14 GMT-0500 (EST)	1	undefined	undefined	new	no	3	pic3.png	1	pic3.png	new	1	7	307		x	x	x	x	x	x	x	25295	0	0	1145	1534	1220	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
3	Sun Feb 26 2017	14:39:14 GMT-0500 (EST)	1	undefined	undefined	old	no	4	pic4.png	1	pic4.png	old	1	6	902		pic4.png	0	40	1118	2	1005	pic4.png	25295	0	0	1145	1534	1220	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
4	Sun Feb 26 2017	14:39:14 GMT-0500 (EST)	1	undefined	undefined	old	no	5	pic5.png	1	pic5.png	old	1	4	322		pic5.png	2	40	438	1	1004	pic5.png	25295	0	0	1145	1534	1220	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
5	Sun Feb 26 2017	14:39:14 GMT-0500 (EST)	1	undefined	undefined	old	no	6	pic6.png	1	pic6.png	new	0	1	321		pic6.png	3	60	283	3	1001	pic6.png	25295	0	0	1145	1534	1220	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
6	Sun Feb 26 2017	14:39:14 GMT-0500 (EST)	1	undefined	undefined	new	no	7	pic7.png	1	pic7.png	new	1	5	315		x	x	x	x	x	x	x	25295	0	0	1145	1534	1220	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
7	Sun Feb 26 2017	14:39:14 GMT-0500 (EST)	1	undefined	undefined	new	no	8	pic8.png	1	pic8.png	new	1	3	314		x	x	x	x	x	x	x	25295	0	0	1145	1534	1220	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
