index	date	time	participant	sex	age	itemType	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	studyRatingTrial	studyRatingItem	studyTime	rating	ratingTime	noteReadingItem	noteReadingTrial	noteReadingItemText	noteReadingRespArr	noteReadingRespTime	noteReadingCorrect	totalExpTime	startInfoTime	backgroundInputTime	studyRatingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	noteReadingInfoTime	psych_student	firstTime	consent	consentTime	q_pianoTime	q_pianoLessonTime	q_currentlyPlaying	q_timeSinceStoppedPlaying	q_playingProficiency	q_sightReadingProficiency	q_byEarProficiency	q_musicTheory	q_musicTheoryText	q_otherInstrument	q_otherInstrumentText	q_belief	q_firstEnglish	q_languageText	q_disturbed	q_disturbedText	q_ratingEffort	q_studyEffort	q_computerText	screen_width	screen_height	screen_availWidth	screen_availHeight
0	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	main	1	pic1	1	new	pic1	new	1	1	542		x	x	x	x	x	x	x	x	x	x	x	x	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
1	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	main	2	pic2	1	old	pic2	old	1	2	782		x	0	pic2	5005	timeout	5007	x	x	x	x	x	x	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
2	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	main	3	pic3	1	new	pic3	old	0	6	639		x	x	x	x	x	x	x	x	x	x	x	x	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
3	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	main	4	pic4	1	new	pic4	new	1	7	809		x	x	x	x	x	x	x	x	x	x	x	x	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
4	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	main	5	pic5	1	old	pic5	old	1	0	994		x	3	pic5	5006	timeout	5002	x	x	x	x	x	x	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
5	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	main	6	pic6	1	old	pic6	new	0	5	609		x	1	pic6	5006	timeout	5005	x	x	x	x	x	x	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
6	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	main	7	pic7	1	old	pic7	old	1	4	753		x	2	pic7	5006	timeout	5006	x	x	x	x	x	x	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
7	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	main	8	pic8	1	new	pic8	new	1	3	706		x	x	x	x	x	x	x	x	x	x	x	x	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
8	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR1	noteReading1	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading1	1	ABC	CCC	950	0	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
9	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR2	noteReading2	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading2	2	ABC	DDD	747	0	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
10	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR3	noteReading3	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading3	0	ABC	CCC	2253	0	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
11	Thu Mar 09 2017	18:10:43 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR4	noteReading4	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading4	3	ABC	DDD	1897	0	96237	0	0	3892	0	1259	0	1615	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	same	yes	sada	yes	asda	1	1	LAPTOP	1440	900	1436	877
