index	date	time	participant	sex	age	itemType	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	studyRatingTrial	studyRatingItem	studyTime	rating	ratingTime	noteReadingItem	noteReadingTrial	noteReadingItemText	noteReadingRespArr	noteReadingRespTime	noteReadingCorrect	totalExpTime	startInfoTime	backgroundInputTime	studyRatingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	noteReadingInfoTime	psych_student	firstTime	consent	consentTime	q_pianoTime	q_pianoLessonTime	q_currentlyPlaying	q_timeSinceStoppedPlaying	q_playingProficiency	q_sightReadingProficiency	q_byEarProficiency	q_musicTheory	q_musicTheoryText	q_otherInstrument	q_otherInstrumentText	q_belief	q_firstEnglish	q_languageText	q_disturbed	q_disturbedText	q_ratingEffort	q_studyEffort	q_computerText	screen_width	screen_height	screen_availWidth	screen_availHeight
0	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	main	1	pic1	1	new	pic1	old	0	1	426		x	x	x	x	x	x	x	x	x	x	x	x	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
1	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	main	2	pic2	1	new	pic2	old	0	5	469		x	x	x	x	x	x	x	x	x	x	x	x	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
2	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	main	3	pic3	1	new	pic3	old	0	7	476		x	x	x	x	x	x	x	x	x	x	x	x	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
3	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	main	4	pic4	1	new	pic4	old	0	0	1348		x	x	x	x	x	x	x	x	x	x	x	x	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
4	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	main	5	pic5	1	old	pic5	old	1	2	10		x	0	pic5	5557	timeout	5288	x	x	x	x	x	x	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
5	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	main	6	pic6	1	old	pic6	old	1	3	461		x	1	pic6	7781	timeout	5218	x	x	x	x	x	x	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
6	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	main	7	pic7	1	old	pic7	old	1	4	545		x	3	pic7	8507	timeout	5554	x	x	x	x	x	x	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
7	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	main	8	pic8	1	old	pic8	old	1	6	401		x	2	pic8	8455	timeout	5513	x	x	x	x	x	x	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
8	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR1	noteReading1	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading1	3	ABC	DCB	1834	0	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
9	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR2	noteReading2	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading2	2	ABC	BCD	1608	0	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
10	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR3	noteReading3	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading3	0	ABC	BCD	3242	0	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
11	Thu Mar 09 2017	18:07:41 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR4	noteReading4	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading4	1	ABC	DCB	1428	0	96416	0	0	2039	0	9268	0	1000	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
