index	date	time	participant	sex	age	practice	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort
0	Sun Feb 26 2017	15:42:29 GMT-0500 (EST)	1	undefined	undefined	no	1	pic1.png	1	old	pic1.png	old	1	6	512		pic1.png	2	40	884	1	2001	pic1.png	43649	0	0	851	1179	1448	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
1	Sun Feb 26 2017	15:42:29 GMT-0500 (EST)	1	undefined	undefined	no	2	pic2.png	1	old	pic2.png	old	1	4	991		pic2.png	0	timeout	5007	0	2004	pic2.png	43649	0	0	851	1179	1448	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
2	Sun Feb 26 2017	15:42:29 GMT-0500 (EST)	1	undefined	undefined	no	3	pic3.png	1	new	pic3.png	old	0	7	591		x	x	x	x	x	x	x	43649	0	0	851	1179	1448	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
3	Sun Feb 26 2017	15:42:29 GMT-0500 (EST)	1	undefined	undefined	no	4	pic4.png	1	old	pic4.png	new	0	0	2013		pic4.png	3	60	481	2	2006	pic4.png	43649	0	0	851	1179	1448	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
4	Sun Feb 26 2017	15:42:29 GMT-0500 (EST)	1	undefined	undefined	no	5	pic5.png	1	new	pic5.png	old	0	1	1934		x	x	x	x	x	x	x	43649	0	0	851	1179	1448	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
5	Sun Feb 26 2017	15:42:29 GMT-0500 (EST)	1	undefined	undefined	no	6	pic6.png	1	new	pic6.png	new	1	3	1394		x	x	x	x	x	x	x	43649	0	0	851	1179	1448	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
6	Sun Feb 26 2017	15:42:29 GMT-0500 (EST)	1	undefined	undefined	no	7	pic7.png	1	old	pic7.png	old	1	5	730		pic7.png	1	timeout	5001	3	2006	pic7.png	43649	0	0	851	1179	1448	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
7	Sun Feb 26 2017	15:42:29 GMT-0500 (EST)	1	undefined	undefined	no	8	pic8.png	1	new	pic8.png	old	0	2	485		x	x	x	x	x	x	x	43649	0	0	851	1179	1448	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
