index	date	time	participant	sex	age	practice	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort
0	Sun Feb 26 2017	14:54:56 GMT-0500 (EST)	1	undefined	undefined	no	1	pic1.png	1	new	pic1.png	old	0	2	970		x	x	x	x	x	x	x	27605	0	0	744	1742	999	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
1	Sun Feb 26 2017	14:54:56 GMT-0500 (EST)	1	undefined	undefined	no	2	pic2.png	1	new	pic2.png	old	0	6	463		x	x	x	x	x	x	x	27605	0	0	744	1742	999	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
2	Sun Feb 26 2017	14:54:56 GMT-0500 (EST)	1	undefined	undefined	no	3	pic3.png	1	old	pic3.png	old	1	0	1409		pic3.png	2	40	500	1	1006	pic3.png	27605	0	0	744	1742	999	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
3	Sun Feb 26 2017	14:54:56 GMT-0500 (EST)	1	undefined	undefined	no	4	pic4.png	1	old	pic4.png	new	0	1	631		pic4.png	1	40	403	3	1003	pic4.png	27605	0	0	744	1742	999	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
4	Sun Feb 26 2017	14:54:56 GMT-0500 (EST)	1	undefined	undefined	no	5	pic5.png	1	new	pic5.png	old	0	4	667		x	x	x	x	x	x	x	27605	0	0	744	1742	999	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
5	Sun Feb 26 2017	14:54:56 GMT-0500 (EST)	1	undefined	undefined	no	6	pic6.png	1	old	pic6.png	old	1	5	559		pic6.png	0	40	1010	0	1005	pic6.png	27605	0	0	744	1742	999	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
6	Sun Feb 26 2017	14:54:56 GMT-0500 (EST)	1	undefined	undefined	no	7	pic7.png	1	old	pic7.png	old	1	7	569		pic7.png	3	40	472	2	1001	pic7.png	27605	0	0	744	1742	999	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
7	Sun Feb 26 2017	14:54:56 GMT-0500 (EST)	1	undefined	undefined	no	8	pic8.png	1	new	pic8.png	new	1	3	846		x	x	x	x	x	x	x	27605	0	0	744	1742	999	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
