index	date	time	participant	sex	age	itemType	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	studyRatingTrial	studyRatingItem	studyTime	rating	ratingTime	noteReadingItem	noteReadingTrial	noteReadingItemText	noteReadingRespArr	noteReadingRespTime	noteReadingCorrect	totalExpTime	startInfoTime	backgroundInputTime	studyRatingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	noteReadingInfoTime	psych_student	firstTime	consent	consentTime	q_pianoTime	q_pianoLessonTime	q_currentlyPlaying	q_timeSinceStoppedPlaying	q_playingProficiency	q_sightReadingProficiency	q_byEarProficiency	q_musicTheory	q_musicTheoryText	q_otherInstrument	q_otherInstrumentText	q_belief	q_firstEnglish	q_languageText	q_disturbed	q_disturbedText	q_ratingEffort	q_studyEffort
0	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	main	1	pic1	1	old	pic1	old	1	2	38		x	3	pic1	5005	20	740	x	x	x	x	x	x	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
1	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	main	2	pic2	1	old	pic2	old	1	3	38		x	2	pic2	5006	20	1772	x	x	x	x	x	x	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
2	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	main	3	pic3	1	new	pic3	old	0	1	115		x	x	x	x	x	x	x	x	x	x	x	x	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
3	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	main	4	pic4	1	new	pic4	old	0	4	99		x	x	x	x	x	x	x	x	x	x	x	x	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
4	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	main	5	pic5	1	new	pic5	old	0	5	45		x	x	x	x	x	x	x	x	x	x	x	x	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
5	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	main	6	pic6	1	old	pic6	old	1	7	85		x	0	pic6	5001	20	1638	x	x	x	x	x	x	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
6	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	main	7	pic7	1	old	pic7	old	1	0	673		x	1	pic7	5003	20	1159	x	x	x	x	x	x	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
7	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	main	8	pic8	1	new	pic8	old	0	6	73		x	x	x	x	x	x	x	x	x	x	x	x	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
8	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR1	noteReading1	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading1	3	ABC	AAA	1512	0	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
9	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR2	noteReading2	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading2	2	ABC	AAA	1376	0	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
10	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR3	noteReading3	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading3	1	ABC	AA	10001	0	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
11	Thu Mar 09 2017	11:34:25 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR4	noteReading4	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading4	0	ABC	A	10006	0	70267	0	0	1036	0	1520	0	699	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
