index	date	time	participant	sex	age	oldOrNew	practice	itemNr	item	itemDiff	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort
0	Sun Feb 26 2017	14:30:28 GMT-0500 (EST)	1	undefined	undefined	old	no	1	pic1.png	1	pic1.png	old	1	6	364		pic1.png	2	40	345	0	1005	pic1.png	27916	0	0	1093	1644	3569	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
1	Sun Feb 26 2017	14:30:28 GMT-0500 (EST)	1	undefined	undefined	new	no	2	pic2.png	1	pic2.png	old	0	2	443		x	x	x	x	x	x	x	27916	0	0	1093	1644	3569	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
2	Sun Feb 26 2017	14:30:28 GMT-0500 (EST)	1	undefined	undefined	old	no	3	pic3.png	1	pic3.png	new	0	7	365		pic3.png	0	40	1289	2	1003	pic3.png	27916	0	0	1093	1644	3569	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
3	Sun Feb 26 2017	14:30:28 GMT-0500 (EST)	1	undefined	undefined	new	no	4	pic4.png	1	pic4.png	old	0	0	1165		x	x	x	x	x	x	x	27916	0	0	1093	1644	3569	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
4	Sun Feb 26 2017	14:30:28 GMT-0500 (EST)	1	undefined	undefined	old	no	5	pic5.png	1	pic5.png	new	0	1	418		pic5.png	1	40	305	1	1001	pic5.png	27916	0	0	1093	1644	3569	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
5	Sun Feb 26 2017	14:30:28 GMT-0500 (EST)	1	undefined	undefined	new	no	6	pic6.png	1	pic6.png	new	1	5	340		x	x	x	x	x	x	x	27916	0	0	1093	1644	3569	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
6	Sun Feb 26 2017	14:30:28 GMT-0500 (EST)	1	undefined	undefined	new	no	7	pic7.png	1	pic7.png	new	1	3	320		x	x	x	x	x	x	x	27916	0	0	1093	1644	3569	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
7	Sun Feb 26 2017	14:30:28 GMT-0500 (EST)	1	undefined	undefined	old	no	8	pic8.png	1	pic8.png	old	1	4	312		pic8.png	3	40	324	3	1005	pic8.png	27916	0	0	1093	1644	3569	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
