index	date	time	participant	sex	age	practice	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort
0	Sun Feb 26 2017	15:41:33 GMT-0500 (EST)	1	undefined	undefined	no	1	pic1.png	1	old	pic1.png	old	1	5	580		pic1.png	0	40	1456	1	1004	pic1.png	28811	0	0	1193	1536	821	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
1	Sun Feb 26 2017	15:41:33 GMT-0500 (EST)	1	undefined	undefined	no	2	pic2.png	1	new	pic2.png	old	0	2	757		x	x	x	x	x	x	x	28811	0	0	1193	1536	821	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
2	Sun Feb 26 2017	15:41:33 GMT-0500 (EST)	1	undefined	undefined	no	3	pic3.png	1	new	pic3.png	old	0	7	534		x	x	x	x	x	x	x	28811	0	0	1193	1536	821	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
3	Sun Feb 26 2017	15:41:33 GMT-0500 (EST)	1	undefined	undefined	no	4	pic4.png	1	old	pic4.png	old	1	1	672		pic4.png	2	40	390	2	1005	pic4.png	28811	0	0	1193	1536	821	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
4	Sun Feb 26 2017	15:41:33 GMT-0500 (EST)	1	undefined	undefined	no	5	pic5.png	1	new	pic5.png	old	0	4	853		x	x	x	x	x	x	x	28811	0	0	1193	1536	821	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
5	Sun Feb 26 2017	15:41:33 GMT-0500 (EST)	1	undefined	undefined	no	6	pic6.png	1	old	pic6.png	old	1	3	741		pic6.png	1	40	447	3	1004	pic6.png	28811	0	0	1193	1536	821	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
6	Sun Feb 26 2017	15:41:33 GMT-0500 (EST)	1	undefined	undefined	no	7	pic7.png	1	new	pic7.png	old	0	6	615		x	x	x	x	x	x	x	28811	0	0	1193	1536	821	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
7	Sun Feb 26 2017	15:41:33 GMT-0500 (EST)	1	undefined	undefined	no	8	pic8.png	1	old	pic8.png	old	1	0	1546		pic8.png	3	40	532	0	1006	pic8.png	28811	0	0	1193	1536	821	0	undefined	undefined	undefined	0	x	x	x	x	x	x	x
